date,id,text,user,,,
2018-12-07 22:33:28,1.07117085760995E+018,Check out Neck Massage Air Cervical Soft Neck Brace Headache Back Shoulder Pain Relaxation  https://t.co/x5kexcVem5… https://t.co/UYzediA8Ax,1.0417955216341E+018,,,
2018-12-07 22:33:26,1.07117085091165E+018,RT @kingsleyyy: Straight men give me a headache.,3011669554,,,
2018-12-07 22:33:24,1.07117084264876E+018,RT @flyaway_k: Benedickhead Donald shouldn’t be calling anyone lazy or dumb as a rock since he’s a Mount Rushmore-sized moronic fucknut wit…,1478362416,,,
2018-12-07 22:33:24,1.07117084154996E+018,RT @kingsleyyy: Straight men give me a headache.,119563772,,,
2018-12-07 22:33:19,1.07117082142987E+018,RT @toofabporvous: Really craving another flu shot,617689070,,,
2018-12-07 22:33:19,1.07117082135852E+018,"12. If she’s not feeling well, even just a headache, make sure you help her out as much as possible. She takes care… https://t.co/jfaPnXMoEA",107745709,,,
2018-12-07 22:35:04,1.07117125931105E+018,Party Downtown Raleigh for #NYE at @WestSocialClub! Tickets Pass at: https://t.co/OZtrHbGsWS,20468696,,,
2018-12-07 22:35:04,1.07117125920613E+018,"RT @demilovatobr: Demi Lovato e Christina Aguilera foram indicadas ao Grammy Awards na categoria Best Pop Duo/Group Performance com ""Fall I…",1870176086,,,
2018-12-07 22:35:04,1.07117125916002E+018,"RT @icecreamcakeee: I 

J 
U 
S 
T 

W 
A 
N 
T 

T 
O 

T 
H 
A 
N 
K 

G 
O 
D 

F 
O 
R 

E 
V 
E 
R 
Y 
T 
H 
I 
N 
G 
.

RETWEET IF YO…",8.72099107812156E+017,,,
2018-12-07 22:35:04,1.07117125887885E+018,"RT @BookClubPro1: Pit of Vipers: Sons of Kings 2 #histfic #Vikings #AngloSaxon
https://t.co/7ZTzKVXmIv
A fantastic addition to the Sons of…",2901396290,,,
2018-12-07 22:35:04,1.07117125861464E+018,"RT @CPAWSbc: Grasslands are the world’s most endangered ecosystem. We have a chance to protect some of the last remaining grasslands, and h…",1062300325,,,
2018-12-07 22:35:03,1.07117125768783E+018,"RT @taramsu93: I'm going to @mbsings at The Colosseum at Caesars Windsor in Windsor, Canada - Dec 13 https://t.co/qyyamXD99w",219754811,,,
2018-12-07 22:35:03,1.07117125760814E+018,"#Read the hilarious Coletti Warlord #Scifi #Romance 9 book series from #bestselling #author Gail Koger @Askole!

""5… https://t.co/3LJcuy6iIa",2897593697,,,
2018-12-07 22:35:03,1.07117125723907E+018,PANAMA CITY NW Dec 7 Climate: Hi: 63 Lo: 36 Precip: 0.0 Snow: M https://t.co/F0cZN9iJxX,34940148,,,
2018-12-07 22:35:03,1.07117125678604E+018,Check out T https://t.co/ydNz8jL5XV he 8 Til Late podcast to get your day turnt!  #8TilLateShow #BuzzinRadio… https://t.co/gM4z8iXKRy,7.444598630492E+017,,,
2018-12-07 22:35:03,1.07117125609814E+018,TALLAHASSEE Dec 7 Climate: Hi: 64 Lo: 35 Precip: 0.0 Snow: M https://t.co/Tus2R0P3LI,34940148,,,
2018-12-07 22:35:03,1.07117125602685E+018,@Pamaj This controller slaps wtf,7.55493488767201E+017,,,
2018-12-07 22:35:03,1.07117125515447E+018,Here are some indoor bowling sets you can use on rainy days for homeschool phy. ed. #homeschool #homeschooling https://t.co/fQysB89HFE,399558803,,,
2018-12-07 22:35:03,1.07117125454626E+018,RT @JimBridenstine: BREAKING: Humans have never before heard the sound of wind on Mars until now! Listen to #SoundsOfMars as recorded by @N…,2949068673,,,
2018-12-07 22:35:02,1.07117125389614E+018,RT @hiddlesbb: a c c u r a t e. https://t.co/4T9rVk8EsU,7.46139929227461E+017,,,
2018-12-07 22:35:02,1.071171253766E+018,@ninjasandyy You’re welcome 🤗,229006624,,,
2018-12-07 22:35:02,1.07117125335925E+018,"c  h  i  l  l ~   o  u  t ~ v  i  b  e  s🎜ᕻ
#okho #Blindead #Wave #Atmospheric 
#ChillOut #Downtempo… https://t.co/CiFi8gL0IZ",4398817852,,,
2018-12-07 22:35:02,1.07117125328361E+018,RT @aengus9: How is my girlfriend @e_emilyrose13 the cutest human being who’s ever lived and how does she manage to bring me happiness ever…,1.06664528063056E+018,,,
2018-12-07 22:35:02,1.07117125306571E+018,"@LoriLFoster Thank you, hope your day was equally lovely 💕",4604273477,,,
2018-12-07 22:35:02,1.07117125258752E+018,"“Today's broke, brainy, sardonic millennials clinging for resonance may find odd commonality with the extinction-fe… https://t.co/aqAEHIM3EV",8.32426677099717E+017,,,
2018-12-07 22:35:02,1.07117125067898E+018,n e ways jaemin loves hyuck a lot maybe they should be put next to each other more often unu,2479815091,,,
2018-12-07 22:35:02,1.07117125049863E+018,@n_e_e_v_ I don’t think he can get either of those pieces tho. It’s really no mystery as to why the #Blackhawks alw… https://t.co/GPXotW9RtX,2475197766,,,
2018-12-07 22:35:01,1.07117124802414E+018,Damn imagine us on route to a shab e dari in our kalaye kurtaye pullin up on Cletus and gang. https://t.co/vtWMAGMgNJ,1025196380,,,
2018-12-07 22:35:01,1.07117124802399E+018,"@erinleigh28 @benjamindcrosby I'm the shy, reserved, weird sister who when comfortable, is so gregarious you wonder… https://t.co/Eda62rhOhx",520209397,,,
2018-12-07 22:35:01,1.07117124754164E+018,"RT @kookiexxg: GIVEAWAY - LOVE YOURSELF HER (VERSION E) ☀️

~ Follow me 🦋
~ RT and Like this post 🦋
~ Worldwide 🦋

Reply with a quote from…",1.00143240941233E+018,,,
2018-12-07 22:35:01,1.07117124711394E+018,"RT @NFLAlumniDet: 2018 PSL Football Honors | Thrs Dec 13 5:30-8PM | Fellowship Chapel
Honoring the best of the Detroit Public School League…",26420383,,,
2018-12-07 22:35:01,1.07117124664E+018,"RT @stablercake: //KILL - SCREEN\\ TEE + TANK PREORDER OPEN!

By popular demand, Kill Screen shirts are getting reprinted! Now in tanks!

T…",1523770891,,,
2018-12-07 22:35:01,1.07117124645952E+018,"RT @tinseymiller: IT'S THE #WEEKEND - let's take a trip to the #Cotswolds! 🎠

Starting off with my #debut Everything Happens For A Reason💕…",7.73943602330366E+017,,,
2018-12-07 22:35:00,1.07117124276445E+018,"RT @zerowondering: It's time for a Christmas giveaway with Smash Ultimate! 2 Switch Ultimate bundles! Two winners! Here's how: 

🙌 Follow m…",8.95447985735303E+017,,,
2018-12-07 22:35:00,1.07117124262603E+018,RT @Raen1ma: F-R-E-E that spells FREE! credit report .com baby,9.15714430758936E+017,,,
2018-12-07 22:35:00,1.07117124177451E+018,@JamusB @realDonaldTrump Hahaha my boss always talks about having to polish turds. (I.e. terrible jobs) This is awesome!,9.60572218596979E+017,,,
2018-12-07 22:35:00,1.07117124157331E+018,@nekurodani s a m e,3129482591,,,
2018-12-07 22:34:59,1.07117123854917E+018,"RT @PlutaoSolo: 🚨STOP AND RT PLEASE!🚨

Retweet and like only takes 5 seconds and will help me to get a LY Answer Ver. E
I do #Rtxrt and #li…",7.58062559148773E+017,,,
2018-12-07 22:34:59,1.07117123724479E+018,My birthday came 33 days early!! https://t.co/5D9mVGK3Ht,261475614,,,
2018-12-07 22:34:58,1.07117123638495E+018,RT @Kyu_Sentoshi: Young Mori https://t.co/bqAlkcKcgj,8.67145983091777E+017,,,
2018-12-07 22:34:58,1.0711712331342E+018,@MarioMasta64 In this case it’s just a type of meme where all you do is replace words so the subject is changed but… https://t.co/n23sBAyBmz,333125785,,,
2018-12-07 22:34:57,1.07117123294562E+018,RT @stuckonkarla: OK BUT THROWBACK TO DECEMBER 2016 WHEN WE WERE ALL SO WORRIED BC WE THOUGHT HER CAREER WAS IN DANGER AND NOW SHE IS NOMIN…,2778614067,,,
2018-12-07 22:34:57,1.07117123266457E+018,"RT @ABFI_Ireland: This evening a 'Celebration of Irish Gin' reception is being hosted by H.E. Helena Nolan, Ambassador of Ireland to Belgiu…",158477179,,,
2018-12-07 22:34:57,1.07117123106654E+018,RT @DmvMusicPlug: PG County’s @rawdawgdro! 🔥🔥an up &amp; coming artist from our area just released his latest visual entitled “CROOKS” - A trac…,1.07087036626283E+018,,,
2018-12-07 22:34:56,1.071171227342E+018,Mva - Non Injury At  N Harrison Ave &amp; E Independence St Shawnee https://t.co/blqoP2lutb,17625361,,,
2018-12-07 22:34:56,1.0711712269687E+018,"RT @lilbrookalina: I been goin crazy, givin e〽️ hell https://t.co/u7bRy92YR7",2406072589,,,
2018-12-07 22:34:56,1.07117122667937E+018,"RT @icecreamcakeee: I 

J 
U 
S 
T 

W 
A 
N 
T 

T 
O 

T 
H 
A 
N 
K 

G 
O 
D 

F 
O 
R 

E 
V 
E 
R 
Y 
T 
H 
I 
N 
G 
.

RETWEET IF YO…",394416169,,,
2018-12-07 22:34:56,1.07117122553424E+018,"RT @Satisfied_x: I think the whole state of Louisiana itself coming out for this one! 

Come party with @kristenshylinn @_keryannakierra @T…",3053464817,,,
2018-12-07 22:34:56,1.07117122529937E+018,"had to play my roll now I’m taking 
C H A R G E",2252558798,,,
2018-12-07 22:34:56,1.0711712249931E+018,@mafuyu_lm I'm a hero 👨🏻‍🚀👨🏻‍🚀👨🏻‍🚀,1.03929782784573E+018,,,
2018-12-07 22:34:56,1.07117122492187E+018,"RT @LyliaRose: #Win a Baby Soothing Sound Machine from @Aucuteeofficial 

**FOLLOW US &amp; RT TO ENTER**

20% OFF code ""JFENKNA3"" to order htt…",286376103,,,
2018-12-07 22:34:55,1.07117122448148E+018,"RT @tellherr: enjoy these lovely tb of me and ryan. i miss u more and more each day. also, why tf did anyone e v e r let me wear headbands…",1733651064,,,
2018-12-07 22:34:55,1.07117122399062E+018,"RT @WDabuet: Time check 18:05pm Gud Evening/Morning ADN TEAM ABROAD Blessed Weekend #ALDUBxEBatAPTStudios 
@kharel_sakura @KDENG18 @lynieg8…",9.47161500753342E+017,,,
2018-12-07 22:34:55,1.07117122362992E+018,Hear Wendy talk here this Wednesday 12th Dec https://t.co/RYKVQcvOIR https://t.co/ZS0sAC3liN,773423509,,,
